index,recipe_id,product_id,amount,measure
229.0,29,2,1,
230.0,29,71,150,gram
231.0,29,95,300,mililitr
232.0,29,50,80,gram
233.0,29,6,1,
234.0,30,52,6,
235.0,30,24,50,gram
236.0,30,18,3,ząbek
237.0,31,24,50,gram
238.0,31,6,2,
239.0,31,39,1,łyżka
240.0,31,2,1,
241.0,32,79,500,gram
242.0,32,2,1,
243.0,32,18,2,ząbek
244.0,32,75,3,łyżka
245.0,32,6,3,
246.0,32,96,100,gram
248.0,32,4,2,łyżka
249.0,32,27,2,łyżka
,33,2,8,
,33,97,3,
,33,27,1,łyżka
,33,18,2,ząbek
,33,92,3,łyżka
,33,16,1,szklanka
,33,34,1,szklanka
,34,24,200,gram
,34,37,1,
,34,11,2,
,34,98,1/2,łyżeczka
,34,39,2,łyżeczka
,34,29,3,
,34,83,1,
,34,52,4,
,34,41,400,gram
,34,4,100,gram
,34,99,100,gram
,35,44,1,kilogram
,35,78,100,mililitr
,35,26,1/4,łyżeczka
,35,2,1,
,35,18,4,ząbek
,35,20,1,łyżeczka
,35,24,500,gram
,35,78,50,mililitr
,35,6,7,
,35,100,50,gram
,36,24,400,gram
,36,27,1,łyżka
,36,34,100,mililitr
,36,101,200,gram
,36,102,100,gram
,36,18,4,ząbek
,36,6,3,
,37,18,30,ząbek
,37,39,100,mililitr
,37,2,1,
,37,103,700,gram
,37,104,3,
,37,67,8,gram
,37,73,80,gram
,37,105,500,mililitr
,37,11,3/4,
,37,106,3,łyżka
,37,1,1,
,38,24,400,gram
,38,107,4,
,38,27,3,łyżka
,38,108,20,gram
,39,24,200,gram
,39,28,2,
,39,38,150,gram
,39,109,4,łyżka
,39,110,1,łyżka
,39,18,1,ząbek
,40,78,2,litr
,40,111,4,łyżka
,41,44,500,gram
,41,70,1,
,41,112,80,gram
,41,24,120,gram
,41,113,3,łyżka
,41,39,2,łyżka
,41,18,1,ząbek
,42,24,800,gram
,42,95,250,mililitr
,42,27,1,łyżka
,42,7,1,łyżka
,42,11,1,
