id,name
0,kurczak
1,olej
2,cebulka
3,przyprawa do drobiu
4,sól
5,ryż
6,mleko
7,cukier
8,mięta
9,cytryna
10,truskawka
11,czekolada
12,tortilla pszenna
13,tuńczyk w oliwie
14,kukurydza
15,szczypiorek
16,marynowana ostra papryczka
17,mozzarella
18,majonez
19,musztarda
20,pomidor
21,papryka
22,marynowana papryka jalapeño
23,czosnek
24,pieprz
25,ocet
26,cebula
27,mąka ziemniaczana
28,kolendra
29,tofu
30,rukola
31,awokado
32,oliwa
33,masło
34,jajko
35,mąka z orzechów
36,cynamon
37,soda oczyszczona
38,mus jabłkowy
39,cukier waniliowy
40,imbir
41,jagoda goji
42,sos sojowy
43,wódka
44,woda
45,mleczko kokosowe
46,limonka
47,laska wanilii
48,mango
49,biały sezam
50,mąka orkiszowa
51,bita śmietana
52,puree z mango
53,napój z mango
54,zielona herbata
55,lód
56,pasta curry
57,bakłażan
58,polędwica wołowa
59,liść bazylii
60,papryczka chili
61,por
62,makaron udong
63,bulion mięsny
64,fasola
65,żeberko wieprzowe
66,boczek
67,marchewka
68,pietruszka
69,seler
70,ziele angielskie
71,liść laurowy
72,ziemniak
73,majeranek
74,bulion
75,marchew
76,mąka pszenna
77,parmezan
78,orzeszek pinii
79,makaron
80,fasola czerwona
81,sałata
82,papryka czerwona
83,mirin
84,wołowina
85,pęd bambusa
86,sezam
87,perełka tapioki
88,syrop cytrynowy
89,herbata malinowa
90,miód
91,tortilla taco
92,kacze udko
93,białe wino
94,sałata lodowa
95,sos Hoisin
96,makaron sojowy
97,krewetka
98,solona pistacja
99,makaron jajeczny
100,ogórek
101,sos ostrygowy
102,kasztan jadalny
103,brokuł
104,czerwona papryka
105,sos teriyaki
106,sos hoisin
107,żeberko
108,zielona papryka
109,pieczarka
110,sos stir-fry
111,groszek cukrowy
112,orzech nerkowca
113,szparag
114,leszcz morski
115,rozmaryn
116,sos chili
117,marynata
118,olej sezamowy
119,fasolka szparagowa
120,wieprzowina
121,wino ryżowe
122,chińska kapusta
123,pomidorek koktajlowy
124,oregano
125,makaron chili
126,śmietanka kremowa
127,sos Worcester
128,makaron pszenny
129,pomidor malinowy
130,kurka
131,dorsz
132,śmietanka kremówki
133,kuskus
134,ser kozi
135,natka pietruszki
136,ser feta
137,kalmar
138,kiełbaska chorizo
139,fasolka biała
140,zupa krewetkowa
141,zupka Shin Ramyun
142,sos serowy
143,sos do salsy
144,ser mozzarella
145,kiełki
146,krem balsamiczny
147,zupka Neoguri
148,szpinak
149,pasta sojowa
150,mąka ryżowa
151,kakao
152,mąka
153,drożdże
154,jogurt naturalny
155,śledź
156,marynowany podgrzybek
157,marynowana cebula
158,pasta harissa
159,migdał
160,sok z limonki
161,nasiono granatu
162,soczewica
163,ocet winny
164,łosoś
165,ciecierzyca
166,kmin rzymski
167,ciabatta
168,szarlotka
169,pasata pomidorowa
170,chleb
171,cukinia
172,bułka do burgerów
173,olej słonecznikowy
174,alga
175,ocet ryżowy
176,wasabi
177,makaron ryżowy
178,pasta miso
179,grzyb shiitake
180,żelatyna
181,rum
182,gorzka czekolada
183,płatki owsiane
184,wiórki kokosowe
185,maliny
186,mięso drobiowe
187,bazylia
188,tapioka
189,pasta z wanilii
190,konfitura malinowa
